Unb;Mapa;Veiculo;Armazem;Nome Armazem;Cliente;Nome;Endereco;Bairro;Cidade;Cd.Vdr;Pedido;Tipo Mov;Peso Bruto;Hr.Min;Hr.Max;Situacao;
0001;   104;         ;  ;                    ;       10581;BAR TRIBO CAICARA   ;R   IZAMIRA PINTO SANTANA         695   ;JARDIM PORTO NOVO   ;CARAGUATATUBA       ;  104;504999;VENDA      ;    170,28;00:00;00:00;                 
0001;   104;         ;  ;                    ;       10581;BAR TRIBO CAICARA   ;R   IZAMIRA PINTO SANTANA         695   ;JARDIM PORTO NOVO   ;CARAGUATATUBA       ;  104;505185;VENDA      ;     25,90;00:00;00:00;                 
0001;   104;         ;  ;                    ;       15613;S5 - BAR E MERCEARIA;R   ITALO MAZZUCCA                589   ;PARQUE BALNEARIO MAR;CARAGUATATUBA       ;  104;505304;VENDA      ;    343,26;00:00;00:00;                 
0001;   104;         ;  ;                    ;       15613;S5 - BAR E MERCEARIA;R   ITALO MAZZUCCA                589   ;PARQUE BALNEARIO MAR;CARAGUATATUBA       ;  104;505305;BONIFICACAO;      2,24;00:00;00:00;                 
0001;   104;         ;  ;                    ;       17433;CASA DO PAO         ;R   NELSON PIRES                  46    ;LOTEAMENTO RESIDENCI;CARAGUATATUBA       ;  104;505119;VENDA      ;    117,02;00:00;00:00;                 
0001;   104;         ;  ;                    ;       17706;QUIOSQUE 47 JAIRINHO;AV  AVENIDA GERALDO NOGUEIRA DA SI47    ;PORTO NOVO          ;CARAGUATATUBA       ;  104;505268;VENDA      ;     77,70;00:00;00:00;                 
0001;   104;         ;  ;                    ;       17912;COMERCIAL           ;R   das Sépias                    171   ;PONTAL DE SANTA MARI;CARAGUATATUBA       ;  104;505002;VENDA      ;    113,36;00:00;00:00;                 
0001;   104;         ;  ;                    ;       18907;KATATAU PADARIA E RE;AV  Geraldo Nogueira da Silva     20    ;JARDIM PORTO NOVO   ;CARAGUATATUBA       ;  104;505207;VENDA      ;     76,89;00:00;00:00;                 
0001;   104;         ;  ;                    ;       19587;QUIOSQ 7 FLOR CARIBE;AV  PREF.GERALDO NOGUEIRA DA SILVA7     ;INDAIA              ;CARAGUATATUBA       ;  104;505004;VENDA      ;    205,96;00:00;00:00;                 
0001;   104;         ;  ;                    ;       19587;QUIOSQ 7 FLOR CARIBE;AV  PREF.GERALDO NOGUEIRA DA SILVA7     ;INDAIA              ;CARAGUATATUBA       ;  104;505382;VENDA      ;     27,30;00:00;00:00;                 
